Total Nacional;Municipios;Sexo;Unidades de medida;Total
Total Nacional;02058 Paterna del Madera;Hombres;Personas;178
Total Nacional;02058 Paterna del Madera;Mujeres;Personas;146
Total Nacional;02060 Peñas de San Pedro;Ambos sexos;Personas;1.412
Total Nacional;02060 Peñas de San Pedro;Hombres;Personas;827
Total Nacional;02060 Peñas de San Pedro;Mujeres;Personas;585
Total Nacional;02059 Peñascosa;Ambos sexos;Personas;322
Total Nacional;02059 Peñascosa;Hombres;Personas;177
Total Nacional;02059 Peñascosa;Mujeres;Personas;145
Total Nacional;02061 Pétrola;Ambos sexos;Personas;674
Total Nacional;02061 Pétrola;Hombres;Personas;355
Total Nacional;02061 Pétrola;Mujeres;Personas;319
Total Nacional;02062 Povedilla;Ambos sexos;Personas;404
Total Nacional;02062 Povedilla;Hombres;Personas;222
Total Nacional;02062 Povedilla;Mujeres;Personas;182
Total Nacional;02901 Pozo Cañada;Ambos sexos;Personas;2.800
Total Nacional;02901 Pozo Cañada;Hombres;Personas;1.422
Total Nacional;02901 Pozo Cañada;Mujeres;Personas;1.378
Total Nacional;02063 Pozohondo;Ambos sexos;Personas;1.583
Total Nacional;02063 Pozohondo;Hombres;Personas;824
Total Nacional;02063 Pozohondo;Mujeres;Personas;759
Total Nacional;02064 Pozo-Lorente;Ambos sexos;Personas;391
Total Nacional;02064 Pozo-Lorente;Hombres;Personas;204
Total Nacional;02064 Pozo-Lorente;Mujeres;Personas;187
Total Nacional;02065 Pozuelo;Ambos sexos;Personas;465
Total Nacional;02065 Pozuelo;Hombres;Personas;250
Total Nacional;02065 Pozuelo;Mujeres;Personas;215
Total Nacional;02066 Recueja, La;Ambos sexos;Personas;225
Total Nacional;02066 Recueja, La;Hombres;Personas;128
Total Nacional;02066 Recueja, La;Mujeres;Personas;97
Total Nacional;02067 Riópar;Ambos sexos;Personas;1.324
Total Nacional;02067 Riópar;Hombres;Personas;681
Total Nacional;02067 Riópar;Mujeres;Personas;643
Total Nacional;02068 Robledo;Ambos sexos;Personas;390
Total Nacional;02068 Robledo;Hombres;Personas;211
Total Nacional;02068 Robledo;Mujeres;Personas;179
Total Nacional;02069 Roda, La;Ambos sexos;Personas;15.513
Total Nacional;02069 Roda, La;Hombres;Personas;7.863
Total Nacional;02069 Roda, La;Mujeres;Personas;7.650
